trade_week,BASE_A_cash,B_A_red,C_ens_cash,BC_ens_red
2025-01-10,2.4926045805064296,2.719226265018738,2.3642805240247693,2.6064727901095677
2025-01-17,2.5250517318985293,2.749484239873559,2.387327772618866,2.627968597953229
2025-01-24,2.5104859240265007,2.7358927111146722,2.384010384467161,2.6248741174839125
2025-01-27,2.4957205963258082,2.721988648699975,2.3581303317518674,2.6005352061493077
2025-02-07,2.6275167848294103,2.846193822643931,2.4865740094248734,2.7216316223908006
2025-02-14,2.683124369386273,2.8998653533057714,2.5316319869963113,2.765265768344253
2025-02-21,2.7301687418178773,2.9453145709990873,2.5957667856877937,2.8274107667839763
2025-02-28,2.622856653796734,2.841220709920199,2.5097315233160145,2.743520518831131
2025-03-07,2.6702306151194826,2.8880578232950542,2.553368749835282,2.7867477867945576
2025-03-14,2.6526215127309083,2.870561680214556,2.5390485186780736,2.7724910743990505
2025-03-21,2.6369646472482167,2.854777870249511,2.5184614071221687,2.751680439943867
2025-03-28,2.621278249389924,2.838978494891927,2.502697261411894,2.7357579934826006
2025-04-03,2.608391748793633,2.8250321688479096,2.5071771399542904,2.7406766479505906
2025-04-11,2.594719243746214,2.8102240915698093,2.482526298399098,2.713730013536128
2025-04-18,2.5930335982715182,2.8083984445236974,2.4815788283585705,2.7126943033051574
2025-04-25,2.5799205100897877,2.7941962465741517,2.471603555869993,2.7017900094159404
2025-04-30,2.563146406630521,2.7760289671009173,2.4584643839443956,2.687427154436117
2025-05-09,2.58186980382622,2.796307439233192,2.4735255162685044,2.703890966663254
2025-05-16,2.599433846402532,2.8153302663511064,2.482902134637126,2.714140852317562
2025-05-23,2.5982234716318127,2.814019363698073,2.49145418518017,2.723489376138197
2025-05-30,2.5599100763201506,2.7725238428265278,2.47069237117914,2.7007939638775564
2025-06-06,2.586501311248198,2.801323617291337,2.497194265903381,2.7297640445470446
2025-06-13,2.6038753738784095,2.820140685646436,2.538287746448531,2.774684660932035
2025-06-20,2.5844798873029706,2.7991343036367495,2.498005835467014,2.7306511975590078
2025-06-27,2.6354364179683443,2.85432303761781,2.539926131952049,2.776475633264335
2025-07-04,2.6370997370292497,2.8561245039260394,2.540578903725102,2.777189199261064
2025-07-11,2.734009829610989,2.96108348071933,2.6108865957690113,2.85404481775141
2025-07-18,2.7800254931588464,3.010920983024611,2.6509446069347944,2.8978335289740276
2025-07-25,2.830829715387897,3.065944758566282,2.6847838912050372,2.934824348132704
2025-08-01,2.782223440649664,3.0133014814178725,2.6510994073547107,2.8980027463337414
2025-08-08,2.8078826665424224,3.04109183867855,2.673322012292378,2.9222949965456295
2025-08-15,2.9661439058545063,3.212497492121961,2.8181746528672083,3.080638116020887
2025-08-22,3.172228746999653,3.4356987447774383,2.989573950434653,3.268000247252984
2025-08-29,3.3791709743464473,3.6598285939912745,3.1562697094427876,3.4502207879341755
2025-09-05,3.302387502801647,3.5766678581661435,3.1308876189259376,3.4224748015628386
