mom_w,turn_w,lambda,mu,top_n,gate,vol_target,rebalance_w,is_sharpe,is_calmar,is_ann_ret,is_max_dd,is_worst_year,ann_tov
4,4,0.5,0.0,3,mkt_ma20,0.2,4,0.8163465236824082,0.6179268081385599,0.14078630000547787,-0.22783653039683116,-1.901916167606762,5.447995854348789
4,4,0.5,0.0,3,mkt_ma50,none,1,0.9420328516378094,1.007080559282496,0.1689461026792236,-0.167758280230919,-0.04896087446303232,12.71264367816092
4,4,0.5,0.0,3,mkt_ma50,none,2,0.7965351774561094,0.7110375691730213,0.14881684760341551,-0.20929533692080193,-1.0581250451126238,8.620689655172413
4,4,0.5,0.0,3,mkt_ma50,none,4,0.45367039692303734,0.27351885994152,0.08636741035683793,-0.31576400389831916,-1.4721982120018198,5.9080459770114935
4,4,0.5,0.0,3,mkt_ma50,0.15,1,1.1015102919911408,1.390751618371472,0.14296186671438615,-0.10279467938479925,-0.11916383449323925,7.876714629706979
4,4,0.5,0.0,3,mkt_ma50,0.15,2,0.9113989137644247,0.8929981068094952,0.12557876699439374,-0.14062601705065392,-1.0647163017686976,5.6132269846858955
4,4,0.5,0.0,3,mkt_ma50,0.15,4,0.4930563140533467,0.31691432383237916,0.06384506333920958,-0.2014584338351908,-1.4721982120018198,3.854746047552458
4,4,0.5,0.0,3,mkt_ma50,0.2,1,1.0155961194265726,1.1675418850089598,0.15792350304197678,-0.1352615311447819,-0.11916383449323911,9.733201414498648
4,4,0.5,0.0,3,mkt_ma50,0.2,2,0.8114639638327118,0.7179884343784277,0.13200193628469536,-0.1838496693877405,-1.0647163017686974,6.851020358077562
4,4,0.5,0.0,3,mkt_ma50,0.2,4,0.482639725518932,0.326908698063062,0.07635237060240341,-0.2335587001960857,-1.4721982120018198,4.6926078395287085
4,4,0.5,0.0,4,none,none,1,0.814371951276103,0.5250097639641897,0.1685761169839477,-0.3210913940172855,-0.6322820609941497,18.103448275862068
4,4,0.5,0.0,4,none,none,2,0.6952331845071676,0.4173570945693122,0.1464564698576325,-0.3509140536086176,-0.7482578434960142,12.931034482758621
4,4,0.5,0.0,4,none,none,4,0.5975981131467526,0.46456988549552664,0.1233373230859085,-0.26548712462141744,-0.2711316638203374,9.137931034482758
4,4,0.5,0.0,4,none,0.15,1,0.899533508155283,0.5098628908230513,0.13739411138902025,-0.26947266385131585,-0.7189738842133605,11.975392724957084
4,4,0.5,0.0,4,none,0.15,2,0.7943233816237761,0.41272135562647566,0.12337762652108686,-0.29893686100592054,-0.8170270032999584,8.881964418549394
4,4,0.5,0.0,4,none,0.15,4,0.6873904405688283,0.4942853260087455,0.10437179526616291,-0.21115697710256576,-0.2454590638439371,6.564702213236766
4,4,0.5,0.0,4,none,0.2,1,0.8606166291356103,0.531681621189415,0.16301244049455055,-0.3065978472791263,-0.6131297921688801,15.131051017079088
4,4,0.5,0.0,4,none,0.2,2,0.7354359938829775,0.4131277113551051,0.1397997087044247,-0.33839344314586406,-0.744386834358045,10.939380731748873
4,4,0.5,0.0,4,none,0.2,4,0.6260926327182874,0.48240544606703367,0.11795926615221397,-0.2445230813912136,-0.2722741093085187,8.099978936150944
4,4,0.5,0.0,4,br30,none,1,0.7542037931307279,0.4395482064325836,0.13539205929779574,-0.3080255073650533,-1.7206114243935338,14.620689655172413
4,4,0.5,0.0,4,br30,none,2,0.7503422454388368,0.5603403022412194,0.14186951600172204,-0.25318456558323554,-1.0710027099515573,10.103448275862068
4,4,0.5,0.0,4,br30,none,4,0.6367178758109235,0.44791820214698724,0.1189165155535985,-0.26548712462141755,-1.3346898307560864,7.068965517241379
4,4,0.5,0.0,4,br30,0.15,1,0.8474108079659567,0.4721712198031364,0.12061836794072911,-0.25545472252844814,-1.6246695676967022,10.377703587695743
4,4,0.5,0.0,4,br30,0.15,2,0.9040295256904057,0.6522665198032589,0.13365442431296715,-0.20490768766313638,-1.0850316089256096,7.344332988145765
