rebal_date,phase,top_n
2025-06-13,5,510880.SS;518880.SS;510180.SS
2025-07-14,5,510880.SS;515210.SS;510180.SS
2025-08-12,5,510500.SS;515880.SS;512980.SS
2025-09-10,5,512980.SS;518880.SS;159915.SZ
2025-10-17,5,518880.SS;510050.SS;510180.SS
2025-11-17,5,515210.SS;510880.SS;510050.SS
2025-12-16,5,518880.SS;515880.SS;159980.SZ
2026-01-16,5,512480.SS;512760.SS;159949.SZ
2026-02-24,5,510880.SS;159949.SZ;159915.SZ
2026-03-25,5,159949.SZ;159915.SZ;510880.SS
2026-04-24,5,510300.SS;159915.SZ;159949.SZ
2019-01-10,6,
2019-02-15,6,
2019-03-18,6,
2019-04-17,6,
2019-05-23,6,
2019-06-24,6,
2019-07-23,6,
2019-08-21,6,
2019-09-20,6,
2019-10-28,6,
2019-11-26,6,159949.SZ;512010.SS;510050.SS
2019-12-25,6,159949.SZ;159915.SZ;510300.SS
2020-02-03,6,518880.SS;159949.SZ;159915.SZ
2020-03-03,6,512010.SS;512660.SS;159949.SZ
2020-04-01,6,512290.SS;518880.SS;512010.SS
2020-05-06,6,512010.SS;518880.SS;512290.SS
2020-06-04,6,512010.SS;512290.SS;159949.SZ
2020-07-07,6,159915.SZ;159949.SZ;510500.SS
2020-08-05,6,512010.SS;512290.SS;518880.SS
2020-09-03,6,510300.SS;512690.SS;510180.SS
2020-10-12,6,510300.SS;510180.SS;510050.SS
2020-11-10,6,512690.SS;510050.SS;510180.SS
2020-12-09,6,512690.SS;159980.SZ;510300.SS
2021-01-08,6,159980.SZ;510180.SS;159949.SZ
2021-02-08,6,512010.SS;510050.SS;159949.SZ
2021-03-16,6,515210.SS;515220.SS;510880.SS
2021-04-15,6,515210.SS;515220.SS;159980.SZ
2021-05-19,6,159980.SZ;510500.SS;510880.SS
2021-06-18,6,512760.SS;510500.SS;159949.SZ
2021-07-19,6,510880.SS;510500.SS;159915.SZ
2021-08-17,6,515210.SS;515220.SS;159980.SZ
2021-09-15,6,510500.SS;515220.SS;515210.SS
2021-10-25,6,159949.SZ;159980.SZ;159915.SZ
2021-11-23,6,512660.SS;159949.SZ;159915.SZ
2021-12-22,6,512660.SS;510500.SS;515880.SS
2022-01-21,6,159980.SZ;515220.SS;518880.SS
2022-02-28,6,159980.SZ;515220.SS;518880.SS
2022-03-29,6,515220.SS;159980.SZ;510880.SS
